26,26;0;0
25,25;0;0
23,27;0;0
27,23;0;0
22,29;0;0
23,25;0;0
21,26;0;0
23,23;0;0
25,23;0;60
26,21;0;60
29,22;0;0
21,22;0;0
27,18;0;60
21,30;0;60
27,27;0;60
26,31;0;0
30,27;0;0
29,28;0;60
18,27;0;60
15,31;0;0
15,27;0;0
15,28;0;60
28,17;0;0
30,14;0;0
27,15;0;0
33,12;0;0
33,9;0;60
34,8;0;0
37,3;0;60
37,2;0;0
37,6;0;0
38,8;0;0
36,9;0;60
30,9;0;0
29,10;0;60
26,12;0;0
29,7;0;60
26,8;0;0
30,6;0;0
33,2;0;60
27,9;0;60
37,7;0;60
34,1;0;0
29,5;0;60
29,31;0;0
31,29;0;0
28,4;0;0
26,4;0;0
28,2;0;60
28,1;0;0
33,28;0;0
33,29;0;60
34,31;0;0
37,31;0;60
37,34;0;0
30,34;0;0
29,32;0;60
26,35;0;0
29,35;0;60
26,39;0;0
27,36;0;60
13,31;0;0
13,29;0;0
29,38;0;60
28,41;0;0
26,43;0;0
28,42;0;60
28,44;0;0
22,32;0;0
38,30;0;0
30,37;0;0
33,36;0;60
37,28;0;60
38,27;0;0
36,26;0;60
11,28;0;0
10,29;0;60
7,31;0;0
4,31;0;60
1,34;0;0
8,34;0;0
11,32;0;60
11,35;0;0
7,35;0;60
4,38;0;0
1,38;0;0
6,39;0;0
3,42;0;0
5,30;0;0
7,27;0;0
10,26;0;60
32,20;0;60
35,19;0;60
34,17;0;60
37,20;0;0
37,21;0;60
40,17;0;60
41,19;0;0
44,17;0;60
45,16;0;0
34,38;0;0
8,28;0;60
48,14;0;60
4,36;0;60
1,44;0;0
2,45;0;60
9,36;0;0
39,22;0;0
41,22;0;60
43,20;0;60
45,20;0;60
40,14;0;60
37,16;0;0
37,13;0;60
41,13;0;0
44,10;0;60
45,12;0;0
42,9;0;60
45,6;0;60
20,20;0;60
48,10;0;60
41,21;0;0
18,22;0;60
18,21;0;0
48,20;0;60
47,23;0;0
40,12;0;60
48,4;0;60
47,3;0;0
18,19;0;60
20,17;0;60
21,19;0;0
15,20;0;0
14,21;0;60
15,17;0;60
12,19;0;0
11,17;0;60
11,16;0;0
10,20;0;60
7,20;0;60
19,16;0;0
22,13;0;60
18,14;0;60
18,13;0;0
18,10;0;60
15,12;0;0
21,9;0;60
21,6;0;60
18,33;0;60
19,35;0;0
20,36;0;60
16,36;0;60
20,39;0;0
22,40;0;60
18,40;0;60
19,42;0;0
18,43;0;60
15,46;0;0
13,39;0;0
10,40;0;60
11,14;0;60
15,10;0;60
15,47;0;60
18,39;0;0
23,36;0;60
14,36;0;60
16,39;0;0
13,20;0;60
5,20;0;60
3,23;0;0
14,40;0;60
11,42;0;0
11,43;0;60
11,46;0;0
21,12;0;0
P
P
P
P
P
11,47;0;60
21,4;0;60
23,3;0;0
19,32;0;0
5,22;0;0
46,22;0;0
32,19;0;0
22,5;0;0
46,5;0;0
27,16;0;60
P
P
P
P
P
P
P
P
P
P
3,43;0;60
22,33;0;60
33,22;0;0
31,16;0;0
26,2;0;0
26,45;0;0
P
P
P
P
P
P
P
P
P
P
P
P
P
P
P
P
P
P
P
P
P
P
P
40,11;0;0
